Time_s,R_index,RR_interval_s,HR_BPM
308.384,38282,0.576,104.16666666666667
308.948,38353,0.568,105.63380281690142
309.513,38423,0.56,107.14285714285714
310.047,38491,0.544,110.29411764705881
310.601,38560,0.552,108.69565217391303
311.182,38629,0.552,108.69565217391303
311.724,38700,0.568,105.63380281690142
312.291,38770,0.56,107.14285714285714
312.853,38841,0.568,105.63380281690142
313.441,38914,0.584,102.73972602739727
314.019,38986,0.576,104.16666666666667
314.625,39062,0.608,98.6842105263158
315.278,39143,0.648,92.5925925925926
315.979,39231,0.704,85.22727272727273
316.716,39323,0.736,81.52173913043478
317.42,39411,0.704,85.22727272727273
318.086,39494,0.664,90.36144578313252
318.721,39574,0.64,93.75
319.396,39658,0.672,89.28571428571428
320.15,39749,0.728,82.41758241758242
320.895,39844,0.76,78.94736842105263
321.594,39933,0.712,84.26966292134831
322.288,40019,0.688,87.2093023255814
322.959,40104,0.68,88.23529411764706
323.665,40192,0.704,85.22727272727273
324.366,40280,0.704,85.22727272727273
325.063,40366,0.688,87.2093023255814
325.758,40453,0.696,86.20689655172414
326.497,40542,0.712,84.26966292134831
327.214,40635,0.744,80.64516129032258
327.921,40724,0.712,84.26966292134831
328.602,40809,0.68,88.23529411764706
